country,date,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,critical_cases
India,2023-01-22,11545,673,159,18,5308,462,6078,241
India,2023-01-23,11680,135,164,5,5415,107,6101,46
India,2023-01-24,12176,496,184,20,5542,127,6450,157
India,2023-01-25,12700,524,206,22,5844,302,6650,288
India,2023-01-26,13502,802,229,23,6480,636,6793,174
India,2023-01-27,14000,498,240,11,6532,52,7228,110
India,2023-01-28,14576,576,252,12,6906,374,7418,73
India,2023-01-29,14722,146,256,4,6913,7,7553,131
India,2023-01-30,14770,48,256,0,6950,37,7564,116
India,2023-01-31,15263,493,272,16,7059,109,7932,179
India,2023-02-01,15824,561,279,7,7405,346,8140,285
India,2023-02-02,16339,515,289,10,7489,84,8561,321
India,2023-02-03,17226,887,309,20,7697,208,9220,42
India,2023-02-04,17724,498,332,23,7877,180,9515,304
India,2023-02-05,18686,962,370,38,8135,258,10181,372
India,2023-02-06,19562,876,411,41,8515,380,10636,90
India,2023-02-07,19630,68,412,1,8525,10,10693,12
India,2023-02-08,20246,616,413,1,8946,421,10887,167
India,2023-02-09,21174,928,446,33,9045,99,11683,217
India,2023-02-10,21480,306,454,8,9255,210,11771,584
India,2023-02-11,21754,274,463,9,9407,152,11884,551
India,2023-02-12,21988,234,471,8,9553,146,11964,172
India,2023-02-13,22711,723,471,0,9691,138,12549,441
India,2023-02-14,23677,966,490,19,9853,162,13334,50
India,2023-02-15,23919,242,496,6,9873,20,13550,630
India,2023-02-16,24047,128,500,4,9939,66,13608,225
India,2023-02-17,24699,652,515,15,10057,118,14127,545
India,2023-02-18,24850,151,519,4,10062,5,14269,38
India,2023-02-19,25619,769,529,10,10068,6,15022,262
India,2023-02-20,26233,614,535,6,10399,331,15299,370
India,2023-02-21,26574,341,537,2,10556,157,15481,521
India,2023-02-22,27201,627,545,8,10945,389,15711,628
India,2023-02-23,27382,181,546,1,10988,43,15848,591
India,2023-02-24,27444,62,546,0,11035,47,15863,588
India,2023-02-25,28105,661,564,18,11380,345,16161,525
India,2023-02-26,28327,222,573,9,11386,6,16368,612
India,2023-02-27,28887,560,581,8,11796,410,16510,158
India,2023-02-28,29276,389,596,15,11833,37,16847,571
India,2023-03-01,29901,625,596,0,12329,496,16976,208
India,2023-03-02,30189,288,606,10,12469,140,17114,605
India,2023-03-03,31021,832,635,29,12815,346,17571,150
India,2023-03-04,31424,403,640,5,13107,292,17677,595
India,2023-03-05,31551,127,644,4,13112,5,17795,348
India,2023-03-06,32011,460,661,17,13195,83,18155,135
India,2023-03-07,32191,180,661,0,13195,0,18335,727
India,2023-03-08,32910,719,671,10,13768,573,18471,323
India,2023-03-09,33054,144,671,0,13841,73,18542,596
India,2023-03-10,33170,116,671,0,13903,62,18596,560
India,2023-03-11,33315,145,676,5,13960,57,18679,521
India,2023-03-12,33807,492,691,15,14190,230,18926,206
India,2023-03-13,34224,417,695,4,14418,228,19111,839
India,2023-03-14,34542,318,702,7,14509,91,19331,366
India,2023-03-15,34549,7,702,0,14511,2,19336,158
India,2023-03-16,35307,758,718,16,14666,155,19923,559
India,2023-03-17,35802,495,736,18,14677,11,20389,983
India,2023-03-18,36648,846,775,39,14767,90,21106,290
India,2023-03-19,37214,566,792,17,14930,163,21492,877
India,2023-03-20,38041,827,829,37,14998,68,22214,437
India,2023-03-21,38054,13,829,0,15003,5,22222,787
India,2023-03-22,38929,875,837,8,15200,197,22892,380
India,2023-03-23,39029,100,838,1,15229,29,22962,901
India,2023-03-24,40005,976,876,38,15733,504,23396,662
India,2023-03-25,40035,30,876,0,15752,19,23407,660
India,2023-03-26,40909,874,886,10,15875,123,24148,316
India,2023-03-27,41650,741,915,29,16427,552,24308,188
India,2023-03-28,41859,209,918,3,16467,40,24474,59
India,2023-03-29,42349,490,919,1,16561,94,24869,382
India,2023-03-30,42565,216,919,0,16660,99,24986,1191
India,2023-03-31,43234,669,920,1,16860,200,25454,1111
Brazil,2023-01-01,805,805,26,26,345,345,434,6
Brazil,2023-01-02,1021,216,33,7,446,101,542,9
Brazil,2023-01-03,1934,913,49,16,489,43,1396,19
Brazil,2023-01-04,2685,751,71,22,854,365,1760,11
Brazil,2023-01-05,3208,523,72,1,1245,391,1891,26
Brazil,2023-01-06,3768,560,79,7,1484,239,2205,54
Brazil,2023-01-07,4376,608,83,4,1822,338,2471,87
Brazil,2023-01-08,4781,405,85,2,2086,264,2610,10
Brazil,2023-01-09,5042,261,91,6,2252,166,2699,100
Brazil,2023-01-10,5491,449,112,21,2311,59,3068,133
Brazil,2023-01-11,5752,261,118,6,2474,163,3160,88
Brazil,2023-01-12,6697,945,133,15,2814,340,3750,114
Brazil,2023-01-13,6962,265,140,7,2946,132,3876,177
Brazil,2023-01-14,6986,24,140,0,2948,2,3898,83
Brazil,2023-01-15,7885,899,153,13,3215,267,4517,141
Brazil,2023-01-16,8369,484,170,17,3369,154,4830,198
Brazil,2023-01-17,9056,687,191,21,3810,441,5055,145
Brazil,2023-01-18,9669,613,216,25,4054,244,5399,183
Brazil,2023-01-19,10281,612,220,4,4165,111,5896,226
Brazil,2023-01-20,11060,779,254,34,4262,97,6544,238
Brazil,2023-01-21,11463,403,270,16,4273,11,6920,25
Brazil,2023-01-22,11560,97,273,3,4318,45,6969,262
Brazil,2023-01-23,12161,601,297,24,4356,38,7508,51
Brazil,2023-01-24,12177,16,297,0,4363,7,7517,218
Brazil,2023-01-25,12948,771,323,26,4793,430,7832,122
Brazil,2023-01-26,13361,413,325,2,4926,133,8110,377
Brazil,2023-01-27,14328,967,340,15,5345,419,8643,180
Brazil,2023-01-28,14687,359,347,7,5524,179,8816,358
Brazil,2023-01-29,15448,761,376,29,5919,395,9153,451
Brazil,2023-01-30,16165,717,400,24,6426,507,9339,252
Brazil,2023-01-31,16669,504,404,4,6543,117,9722,371
Brazil,2023-02-01,17139,470,410,6,6749,206,9980,82
Brazil,2023-02-02,18124,985,454,44,6752,3,10918,165
Brazil,2023-02-03,18515,391,468,14,7019,267,11028,523
Brazil,2023-02-04,19299,784,469,1,7303,284,11527,448
Brazil,2023-02-05,20152,853,493,24,7888,585,11771,395
Brazil,2023-02-06,20628,476,514,21,8225,337,11889,439
Brazil,2023-02-07,20643,15,514,0,8228,3,11901,106
Brazil,2023-02-08,21115,472,535,21,8512,284,12068,590
Brazil,2023-02-09,21994,879,536,1,8779,267,12679,281
Brazil,2023-02-10,22353,359,547,11,9016,237,12790,418
Brazil,2023-02-11,23250,897,563,16,9273,257,13414,528
Brazil,2023-02-12,23795,545,564,1,9445,172,13786,486
Brazil,2023-02-13,24603,808,572,8,9650,205,14381,106
Brazil,2023-02-14,25198,595,590,18,10066,416,14542,324
Brazil,2023-02-15,25613,415,590,0,10295,229,14728,287
Brazil,2023-02-16,25692,79,591,1,10307,12,14794,685
Brazil,2023-02-17,25702,10,591,0,10311,4,14800,617
Brazil,2023-02-18,26550,848,597,6,10332,21,15621,734
Brazil,2023-02-19,27257,707,613,16,10652,320,15992,129
Brazil,2023-02-20,28075,818,645,32,11015,363,16415,466
Brazil,2023-02-21,28413,338,654,9,11043,28,16716,327
Brazil,2023-02-22,28696,283,662,8,11100,57,16934,826
Brazil,2023-02-23,28912,216,664,2,11178,78,17070,788
Brazil,2023-02-24,29495,583,687,23,11478,300,17330,235
Brazil,2023-02-25,29740,245,698,11,11522,44,17520,783
Brazil,2023-02-26,30339,599,709,11,11599,77,18031,510
Brazil,2023-02-27,30752,413,723,14,11809,210,18220,644
Brazil,2023-02-28,31292,540,724,1,11858,49,18710,343
Brazil,2023-03-01,31861,569,740,16,11899,41,19222,474
Brazil,2023-03-02,32613,752,742,2,12172,273,19699,20
Brazil,2023-03-03,33291,678,742,0,12408,236,20141,662
Brazil,2023-03-04,33370,79,744,2,12442,34,20184,680
Brazil,2023-03-05,34048,678,765,21,12815,373,20468,160
Brazil,2023-03-06,34474,426,777,12,12914,99,20783,761
Brazil,2023-03-07,35345,871,804,27,13218,304,21323,771
Brazil,2023-03-08,35958,613,827,23,13503,285,21628,614
Brazil,2023-03-09,36593,635,857,30,13706,203,22030,450
Brazil,2023-03-10,37070,477,864,7,13885,179,22321,244
Brazil,2023-03-11,37655,585,887,23,14333,448,22435,401
Brazil,2023-03-12,38335,680,908,21,14476,143,22951,752
Brazil,2023-03-13,39120,785,918,10,14607,131,23595,999
Brazil,2023-03-14,39705,585,921,3,15062,455,23722,464
Brazil,2023-03-15,39931,226,925,4,15152,90,23854,1124
Brazil,2023-03-16,40065,134,925,0,15233,81,23907,374
Brazil,2023-03-17,40822,757,952,27,15284,51,24586,8
Brazil,2023-03-18,41134,312,965,13,15440,156,24729,186
Brazil,2023-03-19,42029,895,982,17,15916,476,25131,111
Brazil,2023-03-20,42685,656,990,8,16163,247,25532,1004
Brazil,2023-03-21,42692,7,990,0,16167,4,25535,747
Brazil,2023-03-22,42767,75,991,1,16207,40,25569,1024
Brazil,2023-03-23,42979,212,996,5,16268,61,25715,103
Brazil,2023-03-24,43925,946,1000,4,16762,494,26163,972
Brazil,2023-03-25,44622,697,1004,4,17310,548,26308,336
Brazil,2023-03-26,45088,466,1009,5,17532,222,26547,373
Brazil,2023-03-27,45582,494,1012,3,17660,128,26910,1209
Brazil,2023-03-28,45847,265,1014,2,17836,176,26997,524
Brazil,2023-03-29,46557,710,1044,30,17983,147,27530,428
Brazil,2023-03-30,46592,35,1044,0,17997,14,27551,29
Brazil,2023-03-31,47539,947,1061,17,18152,155,28326,1155
Russia,2023-01-01,33,33,0,0,21,21,12,0
Russia,2023-01-02,468,435,4,4,77,56,387,7
Russia,2023-01-03,1214,746,14,10,618,541,582,17
Russia,2023-01-04,2139,925,38,24,732,114,1369,16
Russia,2023-01-05,2587,448,42,4,855,123,1690,13
Russia,2023-01-06,3356,769,44,2,1002,147,2310,76
Russia,2023-01-07,4026,670,65,21,1284,282,2677,115
Russia,2023-01-08,4166,140,66,1,1348,64,2752,1
Russia,2023-01-09,4586,420,76,10,1636,288,2874,28
Russia,2023-01-10,5284,698,78,2,1701,65,3505,83
Russia,2023-01-11,5843,559,95,17,2121,420,3627,53
Russia,2023-01-12,6553,710,104,9,2648,527,3801,18
Russia,2023-01-13,6710,157,109,5,2708,60,3893,42
Russia,2023-01-14,7176,466,111,2,2993,285,4072,145
Russia,2023-01-15,7211,35,111,0,3017,24,4083,19
Russia,2023-01-16,8123,912,134,23,3669,652,4320,99
Russia,2023-01-17,9000,877,136,2,3800,131,5064,81
Russia,2023-01-18,9940,940,174,38,3842,42,5924,37
Russia,2023-01-19,10302,362,182,8,4125,283,5995,132
Russia,2023-01-20,10737,435,187,5,4416,291,6134,30
Russia,2023-01-21,11512,775,211,24,5016,600,6285,239
Russia,2023-01-22,12423,911,221,10,5163,147,7039,333
Russia,2023-01-23,13422,999,258,37,5618,455,7546,60
Russia,2023-01-24,13446,24,258,0,5618,0,7570,364
Russia,2023-01-25,13741,295,262,4,5722,104,7757,382
Russia,2023-01-26,14108,367,266,4,5738,16,8104,218
Russia,2023-01-27,14316,208,266,0,5832,94,8218,340
Russia,2023-01-28,15107,791,281,15,6004,172,8822,83
Russia,2023-01-29,15226,119,283,2,6031,27,8912,301
Russia,2023-01-30,16220,994,300,17,6758,727,9162,411
Russia,2023-01-31,16809,589,316,16,7108,350,9385,389
Russia,2023-02-01,17186,377,323,7,7333,225,9530,369
Russia,2023-02-02,18180,994,351,28,7577,244,10252,65
Russia,2023-02-03,18248,68,352,1,7585,8,10311,370
Russia,2023-02-04,19177,929,387,35,8145,560,10645,99
Russia,2023-02-05,20162,985,392,5,8756,611,11014,71
Russia,2023-02-06,20675,513,393,1,8955,199,11327,100
Russia,2023-02-07,21264,589,405,12,9133,178,11726,411
Russia,2023-02-08,21360,96,408,3,9152,19,11800,354
Russia,2023-02-09,21661,301,412,4,9232,80,12017,112
Russia,2023-02-10,21895,234,421,9,9403,171,12071,451
Russia,2023-02-11,22415,520,440,19,9467,64,12508,372
Russia,2023-02-12,23331,916,472,32,9949,482,12910,389
Russia,2023-02-13,23672,341,474,2,10057,108,13141,203
Russia,2023-02-14,23915,243,480,6,10152,95,13283,65
Russia,2023-02-15,24379,464,498,18,10362,210,13519,398
Russia,2023-02-16,24912,533,513,15,10729,367,13670,197
Russia,2023-02-17,25713,801,515,2,11268,539,13930,375
Russia,2023-02-18,25860,147,519,4,11297,29,14044,419
Russia,2023-02-19,26597,737,535,16,11481,184,14581,319
Russia,2023-02-20,27069,472,540,5,11788,307,14741,250
Russia,2023-02-21,27642,573,550,10,12061,273,15031,45
Russia,2023-02-22,28634,992,572,22,12286,225,15776,614
Russia,2023-02-23,29283,649,577,5,12618,332,16088,573
Russia,2023-02-24,29453,170,584,7,12677,59,16192,273
Russia,2023-02-25,29649,196,589,5,12758,81,16302,541
Russia,2023-02-26,29847,198,594,5,12842,84,16411,498
Russia,2023-02-27,30025,178,600,6,12852,10,16573,555
Russia,2023-02-28,30980,955,630,30,12994,142,17356,432
Russia,2023-03-01,31612,632,659,29,13050,56,17903,449
Russia,2023-03-02,32484,872,666,7,13193,143,18625,631
Russia,2023-03-03,32792,308,666,0,13280,87,18846,930
Russia,2023-03-04,33333,541,685,19,13540,260,19108,192
Russia,2023-03-05,34224,891,711,26,14008,468,19505,389
Russia,2023-03-06,34602,378,728,17,14168,160,19706,241
Russia,2023-03-07,34939,337,736,8,14241,73,19962,740
Russia,2023-03-08,35354,415,745,9,14417,176,20192,739
Russia,2023-03-09,35770,416,759,14,14478,61,20533,416
Russia,2023-03-10,36082,312,771,12,14649,171,20662,178
Russia,2023-03-11,36896,814,779,8,15070,421,21047,632
Russia,2023-03-12,36898,2,779,0,15070,0,21049,785
Russia,2023-03-13,37041,143,782,3,15155,85,21104,754
Russia,2023-03-14,37134,93,783,1,15177,22,21174,823
Russia,2023-03-15,37311,177,785,2,15309,132,21217,89
Russia,2023-03-16,37337,26,785,0,15328,19,21224,590
Russia,2023-03-17,37995,658,810,25,15675,347,21510,804
Russia,2023-03-18,38353,358,822,12,15821,146,21710,205
Russia,2023-03-19,38404,51,823,1,15852,31,21729,481
Russia,2023-03-20,39062,658,835,12,16083,231,22144,866
Russia,2023-03-21,39901,839,865,30,16148,65,22888,88
Russia,2023-03-22,40173,272,876,11,16313,165,22984,434
Russia,2023-03-23,40581,408,892,16,16517,204,23172,1028
Russia,2023-03-24,41528,947,938,46,16557,40,24033,394
Russia,2023-03-25,41939,411,952,14,16561,4,24426,726
Russia,2023-03-26,42210,271,962,10,16714,153,24534,479
Russia,2023-03-27,42429,219,968,6,16824,110,24637,811
Russia,2023-03-28,42897,468,970,2,16977,153,24950,120
Russia,2023-03-29,43537,640,1001,31,17161,184,25375,1134
Russia,2023-03-30,44247,710,1019,18,17351,190,25877,763
Russia,2023-03-31,44336,89,1020,1,17363,12,25953,318
UK,2023-01-01,293,293,3,3,159,159,131,4
UK,2023-01-02,608,315,11,8,242,83,355,8
UK,2023-01-03,968,360,26,15,527,285,415,10
UK,2023-01-04,1618,650,46,20,800,273,772,0
UK,2023-01-05,2297,679,47,1,1014,214,1236,45
UK,2023-01-06,2419,122,48,1,1036,22,1335,65
UK,2023-01-07,2760,341,50,2,1068,32,1642,50
UK,2023-01-08,3086,326,56,6,1219,151,1811,82
UK,2023-01-09,3188,102,57,1,1298,79,1833,27
UK,2023-01-10,4041,853,58,1,1563,265,2420,115
UK,2023-01-11,4890,849,69,11,1627,64,3194,67
UK,2023-01-12,5395,505,91,22,1919,292,3385,126
UK,2023-01-13,5414,19,91,0,1924,5,3399,125
UK,2023-01-14,6116,702,95,4,2093,169,3928,144
UK,2023-01-15,6301,185,100,5,2189,96,4012,22
UK,2023-01-16,6432,131,100,0,2251,62,4081,92
UK,2023-01-17,6601,169,102,2,2353,102,4146,92
UK,2023-01-18,6696,95,102,0,2364,11,4230,162
UK,2023-01-19,6787,91,103,1,2435,71,4249,167
UK,2023-01-20,7657,870,108,5,2508,73,5041,88
UK,2023-01-21,7797,140,108,0,2605,97,5084,59
UK,2023-01-22,8515,718,123,15,2609,4,5783,180
UK,2023-01-23,8581,66,124,1,2617,8,5840,261
UK,2023-01-24,9132,551,139,15,2952,335,6041,297
UK,2023-01-25,10117,985,161,22,3425,473,6531,217
UK,2023-01-26,11032,915,190,29,3820,395,7022,99
UK,2023-01-27,11570,538,197,7,4075,255,7298,210
UK,2023-01-28,12154,584,198,1,4430,355,7526,114
UK,2023-01-29,12395,241,205,7,4440,10,7750,202
UK,2023-01-30,12675,280,216,11,4659,219,7800,141
UK,2023-01-31,13649,974,221,5,5066,407,8362,42
UK,2023-02-01,14264,615,238,17,5423,357,8603,358
UK,2023-02-02,14851,587,259,21,5863,440,8729,427
UK,2023-02-03,15003,152,260,1,5884,21,8859,146
UK,2023-02-04,15066,63,261,1,5913,29,8892,293
UK,2023-02-05,16011,945,301,40,6410,497,9300,362
UK,2023-02-06,16234,223,308,7,6421,11,9505,312
UK,2023-02-07,16681,447,322,14,6709,288,9650,193
UK,2023-02-08,16802,121,327,5,6774,65,9701,36
UK,2023-02-09,17564,762,352,25,6846,72,10366,50
UK,2023-02-10,18088,524,376,24,6993,147,10719,394
UK,2023-02-11,18607,519,396,20,7085,92,11126,526
UK,2023-02-12,19063,456,410,14,7312,227,11341,35
UK,2023-02-13,19272,209,417,7,7373,61,11482,181
UK,2023-02-14,19796,524,430,13,7380,7,11986,506
UK,2023-02-15,20227,431,444,14,7547,167,12236,234
UK,2023-02-16,21104,877,445,1,8141,594,12518,462
UK,2023-02-17,21193,89,446,1,8197,56,12550,584
UK,2023-02-18,21883,690,472,26,8720,523,12691,620
UK,2023-02-19,22022,139,472,0,8756,36,12794,177
UK,2023-02-20,22994,972,489,17,8979,223,13526,586
UK,2023-02-21,23133,139,494,5,9013,34,13626,460
UK,2023-02-22,23886,753,504,10,9390,377,13992,75
UK,2023-02-23,24828,942,545,41,9481,91,14802,643
UK,2023-02-24,25100,272,545,0,9494,13,15061,260
UK,2023-02-25,25615,515,564,19,9575,81,15476,144
UK,2023-02-26,25997,382,571,7,9727,152,15699,267
UK,2023-02-27,26147,150,575,4,9818,91,15754,642
UK,2023-02-28,27051,904,583,8,10112,294,16356,564
UK,2023-03-01,27788,737,607,24,10431,319,16750,516
UK,2023-03-02,28203,415,626,19,10634,203,16943,677
UK,2023-03-03,28978,775,648,22,10932,298,17398,187
UK,2023-03-04,29713,735,657,9,11367,435,17689,594
UK,2023-03-05,30504,791,676,19,11564,197,18264,345
UK,2023-03-06,30805,301,684,8,11743,179,18378,315
UK,2023-03-07,31745,940,710,26,12375,632,18660,629
UK,2023-03-08,32684,939,742,32,13029,654,18913,327
UK,2023-03-09,32780,96,743,1,13030,1,19007,502
UK,2023-03-10,33211,431,756,13,13148,118,19307,171
UK,2023-03-11,33685,474,771,15,13472,324,19442,202
UK,2023-03-12,33770,85,774,3,13472,0,19524,593
UK,2023-03-13,33956,186,780,6,13597,125,19579,431
UK,2023-03-14,34746,790,811,31,13969,372,19966,34
UK,2023-03-15,35740,994,853,42,14293,324,20594,830
UK,2023-03-16,36544,804,872,19,14465,172,21207,721
UK,2023-03-17,36784,240,878,6,14471,6,21435,77
UK,2023-03-18,37480,696,887,9,14940,469,21653,521
UK,2023-03-19,37590,110,887,0,14976,36,21727,284
UK,2023-03-20,38090,500,887,0,15356,380,21847,421
UK,2023-03-21,39057,967,910,23,16090,734,22057,111
UK,2023-03-22,40051,994,926,16,16845,755,22280,594
UK,2023-03-23,40869,818,944,18,16873,28,23052,309
UK,2023-03-24,41663,794,949,5,17413,540,23301,127
UK,2023-03-25,41834,171,952,3,17475,62,23407,842
UK,2023-03-26,42036,202,961,9,17550,75,23525,864
UK,2023-03-27,42202,166,968,7,17676,126,23558,1045
UK,2023-03-28,42939,737,1003,35,17845,169,24091,250
UK,2023-03-29,43602,663,1026,23,17967,122,24609,828
UK,2023-03-30,44417,815,1041,15,18003,36,25373,606
UK,2023-03-31,45414,997,1083,42,18769,766,25562,512
France,2023-01-01,979,979,6,6,733,733,240,3
France,2023-01-02,1266,287,19,13,749,16,498,3
France,2023-01-03,1548,282,32,13,755,6,761,37
France,2023-01-04,1815,267,33,1,810,55,972,43
France,2023-01-05,2138,323,37,4,929,119,1172,28
France,2023-01-06,2408,270,37,0,1120,191,1251,53
France,2023-01-07,3150,742,64,27,1478,358,1608,20
France,2023-01-08,3685,535,66,2,1766,288,1853,65
France,2023-01-09,3963,278,71,5,1951,185,1941,68
France,2023-01-10,4776,813,110,39,2293,342,2373,17
France,2023-01-11,5724,948,136,26,2941,648,2647,5
France,2023-01-12,5949,225,142,6,3023,82,2784,10
France,2023-01-13,6523,574,153,11,3181,158,3189,71
France,2023-01-14,7093,570,163,10,3508,327,3422,153
France,2023-01-15,7585,492,185,22,3626,118,3774,83
France,2023-01-16,7610,25,185,0,3639,13,3786,121
France,2023-01-17,8100,490,188,3,4011,372,3901,83
France,2023-01-18,8349,249,193,5,4172,161,3984,188
France,2023-01-19,9225,876,218,25,4691,519,4316,188
France,2023-01-20,9390,165,222,4,4789,98,4379,16
France,2023-01-21,10075,685,255,33,4990,201,4830,87
France,2023-01-22,10399,324,263,8,4996,6,5140,255
France,2023-01-23,10971,572,287,24,5057,61,5627,187
France,2023-01-24,11474,503,297,10,5342,285,5835,239
